"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"102","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.37,52.9,40.53,"Tourism",44.96,5.84,49.35,24.07,30.87,24634,-35.26,63.62,61.74,310471110025,1189496989986,30.59,51.24,"Low","fuel, food",284.72,"No"
"103","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",4.48,12.96,8.48,"Services",12.28,19.47,24.39,7.9,18.36,1696,-11.12,91.04,174.45,149304884590,458879370523,13.3,22.15,"Dominant","food",12.7,"Yes"
"104","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.38,15.61,10.23,"Tourism",11.32,21.3,33.31,14.97,19.02,15816,-9.86,126.21,198.92,422969800104,801047247226,27.99,54.53,"Moderate","medicine, water",179.66,"No"
"105","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.82,38.29,23.47,"Services",29.21,17.45,39.6,16.99,25.65,111027,-42.82,90.2,166.92,59329668826,102428164273,25.39,72.87,"Dominant","fuel, food",304.27,"Yes"
"106","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",13.92,32.84,18.92,"Energy",27.99,25.21,47.08,19.24,25.95,67428,-61.5,111.59,67.88,172530840293,639247449385,14.67,33.51,"Moderate","currency, fuel",5.34,"Yes"
"107","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",5.63,9.36,3.73,"Construction",5.28,27.22,30.83,20.72,25.43,35334,-12.5,48.12,68.02,420848479056,791089467394,11.39,24.26,"High","food, medicine, fuel",11.95,"No"
"108","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.87,14.83,8.96,"Tourism",11.96,9.4,16.25,8.15,14.11,1610,-22.64,49.61,61.55,247905907954,490851458388,38.56,87.75,"Moderate","fuel",224.65,"Yes"
"109","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.22,10.04,5.81,"Energy",7.9,11.43,15.24,9.91,10.26,107493,-9.34,82.26,131.87,85377400252,172926719729,10.08,22.11,"Dominant","food, weapons, fuel",5.44,"No"
"110","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.12,21.86,16.74,"Services",20.88,24.92,40.35,24.94,33.97,15384,-46.05,170.76,248.68,71148766277,125416600689,24.63,60.31,"Low","fuel, currency",124.1,"No"
"111","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.21,15.51,9.3,"Agriculture",10.9,18.94,25.5,11.58,21.33,195697,-5.4,22.81,15.44,380948404440,669712752186,31.48,46.56,"High","water, weapons",5.48,"Yes"
"112","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",14.41,44.47,30.05,"Energy",40.35,7.21,34.28,18.78,29.36,64214,-61.15,94.36,52.13,199311608356,628500555431,10.71,22.94,"High","food, fuel",12.9,"Yes"
"113","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",7.48,11.55,4.07,"Energy",5.39,22.64,27.51,17.38,24.6,32096,-81.6,50.82,37.14,191553174581,303721033717,33.5,87.24,"Dominant","food",17.76,"No"
"114","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.66,11.47,5.81,"Tourism",7.94,19.95,25.66,12.06,20.55,46021,-27.31,87.59,72.71,207023426671,367278175722,24.32,53.24,"High","food, weapons",383.12,"Yes"
"115","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",10.57,17.54,6.97,"Energy",7.69,8.76,15.8,9.17,10.44,43576,-47.3,34.25,20.34,279617144877,677316433521,24.77,43.19,"Low","weapons, currency",5.66,"Yes"
"116","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.17,24.49,13.32,"Services",18.66,15.41,26.34,15.8,16.62,41,-42.24,10.17,6.81,373762175621,981653425698,15.1,19.57,"Dominant","medicine, currency, weapons",1.17,"Yes"
"117","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",6.97,38.38,31.41,"Agriculture",43.81,15.02,52.27,26.94,32.12,47102,-45.86,6.5,6.01,485501977350,836844480430,22.9,65.19,"High","medicine, currency, fuel",145.89,"No"
"118","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.66,26.54,14.89,"Energy",18.83,15.4,28.51,19.36,15.69,6335,-9.38,65.41,63.22,76624603018,209918327032,14.92,43.01,"High","water, currency",5.41,"Yes"
"119","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.97,51.48,38.51,"Construction",49.77,14.97,50.08,27.02,32.56,2218327,-42.26,83.94,95.92,412487057239,1249750057545,11.9,29.75,"Low","fuel, food",18.73,"No"
"120","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",9.36,11.89,2.53,"Services",3.74,13.51,16.4,9.24,14.66,34002,-42.26,50.3,89.27,104574408607,190556801295,27.13,77.38,"Moderate","currency, fuel",233.23,"Yes"
"121","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.48,73.95,60.47,"Manufacturing",77.51,18.72,88.46,45.54,60.76,65588,-27.59,81.22,143.49,446013770027,795101532391,26.77,51.23,"Low","food, fuel",393.29,"No"
"122","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",13.94,29.96,16.01,"Construction",21.62,15.08,28.61,15.82,18.54,22897,-14.14,55.35,59.57,78961931934,146254184820,13.62,40.16,"High","weapons, medicine",9.44,"Yes"
"123","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.09,15.21,9.12,"Agriculture",12.37,15.26,24.11,9.84,14.41,123654,-38.91,40.72,39.42,68701745338,103341339047,38.5,61.79,"Moderate","currency, medicine",8.25,"Yes"
"124","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.1,29.29,17.19,"Manufacturing",24.08,26.12,41.23,28.69,36.49,147725,-12.43,26.18,47.85,143684438049,381218158541,16.26,40.47,"Moderate","fuel",14.18,"Yes"
"125","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",7.17,15.92,8.74,"Agriculture",12.78,27.05,31.63,17.26,23.15,223,-12.74,30.79,26.42,276524926166,535904753068,33.19,90,"High","weapons",86.43,"Yes"
"126","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",11.47,30.01,18.54,"Agriculture",22.83,16.53,26.47,16.27,14.25,68116,-48.06,42.56,21.59,320534506947,524009742492,18.61,54.43,"High","medicine",280.29,"Yes"
"127","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.47,29.95,16.48,"Construction",18.4,16.59,26.96,12.63,15.71,12479,-46.8,68.44,109.14,221459635684,820559901416,16.02,40.49,"Dominant","fuel, currency, medicine",2.82,"Yes"
"128","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",10.57,27.25,16.67,"Manufacturing",19.78,12.56,29.29,9.03,16.27,53474,-49.97,121.21,200.99,187265387429,635738502766,17.23,49.11,"Moderate","water",15.6,"Yes"
"129","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",5.36,12.83,7.47,"Tourism",11.15,7.11,13.11,6.62,10.02,6004,-38.39,46.71,27.34,400274187527,1283071505521,36.39,48.1,"Low","food, water",9.75,"Yes"
"130","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.85,35.34,23.49,"Construction",27.44,29.03,45.26,21.32,26.83,43742,-48.33,60.79,60.29,442046162742,895642999965,39.25,84.63,"Dominant","water, medicine, currency",259.53,"No"
"131","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.05,14.92,11.86,"Tourism",17.7,23.71,32.72,18.63,26.34,10507,-40.11,100.96,178.42,11884214690,26730579367,29.4,61.3,"High","medicine, currency, weapons",144.87,"Yes"
"132","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.09,18.92,9.83,"Tourism",13.62,27.34,37.9,20.58,28.93,7739,-47.64,24.24,43.97,228107267612,554976790655,34.02,45.98,"High","currency",5.69,"Yes"
"133","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",5.12,6.24,1.12,"Tourism",1.64,6.21,7.17,2.8,4.69,1704,-27.21,86.77,162.07,150835834828,235507718181,36.82,90,"Moderate","food",216.68,"Yes"
"134","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",12.55,33.24,20.69,"Construction",23.41,6.06,28.32,10.92,17.23,29020,-69.36,65.38,72.06,148182572187,484741092102,19.49,48.42,"Moderate","fuel, medicine, currency",3.99,"Yes"
"135","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",7.41,11.12,3.71,"Services",5.53,21.17,24.53,13.53,18.36,297519,-49.99,52.58,31.28,280354927281,1044028179052,13.24,34.63,"High","water, fuel, medicine",4.85,"Yes"
"136","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",7.66,18.08,10.42,"Construction",13.96,25,34.9,13.05,28.46,8054,-36.06,11.04,15.14,277299980920,922405305506,12.3,24.2,"Low","water, food",11.32,"Yes"
"137","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.94,82.63,68.69,"Services",99.67,10.18,92.21,29.47,50.85,1556,-34.49,30.19,31.86,75882007771,211346523528,12.81,36.37,"Dominant","currency, food, water",3.91,"No"
"138","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",14.78,43.79,29.01,"Agriculture",43.17,17.27,45.96,23.96,33.4,2444,-32.23,69.39,82.01,130379486173,457061502770,24.79,44.91,"High","food, water",0.28,"Yes"
"139","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.54,9.99,4.45,"Manufacturing",6.17,11.72,15.54,7.98,7.8,5106,-37.85,77.45,54.66,333490656522,1291835357028,36.28,65.13,"High","weapons",441.49,"Yes"
"140","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",14.5,43.17,28.68,"Tourism",35.31,12.11,46.47,26.86,38.16,244640,-37.16,40.53,72.31,186836989193,563146652927,18.53,53.98,"High","medicine",499.7,"Yes"
"141","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",7.08,13.24,6.17,"Construction",7.26,20.38,25.35,16.8,17,53221,-45.45,125.71,247.32,55082696458,120833621387,10,26.53,"Low","food, weapons, fuel",13.93,"No"
"142","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.88,67.06,54.18,"Manufacturing",60.16,7.78,51.76,25.17,45.5,11297,-47.22,91.08,58.15,467134104653,772470736469,32.91,77.85,"Low","currency, medicine, food",58.23,"Yes"
"143","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",3.8,8.84,5.04,"Tourism",5.94,7.43,12.28,6.28,9.26,1602,-11.74,78.07,93.79,260314412393,629850783792,29.04,67.35,"Low","fuel, medicine",87.59,"Yes"
"144","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",14.31,24.07,9.76,"Construction",13.46,12.44,21.69,10.48,14.6,8041664,-14.97,23.5,16.45,322309059681,1177481605047,28.16,79.23,"Low","water, fuel, medicine",124.44,"No"
"145","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",10.02,17.42,7.39,"Energy",9.36,23.63,28.59,14.94,20.61,23459,-35.83,74.91,102.04,398789761429,776673954864,10.33,15.66,"Dominant","food",4.02,"No"
"146","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.47,19.3,13.83,"Construction",18.67,8.05,23.69,8.52,15.61,23270,-8.63,58.73,63.28,120293938728,466747165391,25.1,69.2,"Moderate","food",205.32,"Yes"
"147","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.7,7.82,3.12,"Construction",3.64,16.88,20.18,8.8,17.4,598,-40.42,79.51,68.73,141125461044,423183666903,37.06,83.05,"Low","medicine",324.47,"Yes"
"148","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",11.71,20.03,8.32,"Agriculture",9.32,25.16,30.82,13.77,18.93,345009,-42.82,73.25,61.08,272880124538,679610352063,14.02,22.65,"High","currency",1.17,"Yes"
"149","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.12,15.19,9.07,"Services",12.79,28.01,36.26,22.18,29.05,3947,-26.53,30.12,36.48,54926578345,99729623625,23.9,60.12,"High","currency, weapons",416.87,"Yes"
"150","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",9.81,14.21,4.4,"Construction",5.16,17.89,23.05,14.5,18.52,48933,-9.42,131.32,183.4,130810838436,251795559581,10.98,32.79,"High","medicine, weapons, currency",19.3,"Yes"
"151","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.86,14.05,9.19,"Construction",11.91,24.15,30.07,19.07,24.67,1368,-32.88,44.18,40.48,349579854882,574889136005,24.42,50.59,"Low","currency, water, weapons",162.49,"Yes"
"152","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",3.82,9.98,6.16,"Energy",8.37,25.69,29.04,17.42,23.94,8415,-41.98,55.09,82.13,91783366775,309691061561,26.6,46.57,"Moderate","fuel",11.74,"No"
"153","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.23,21.65,14.42,"Manufacturing",17.53,6.62,17.05,7.72,10.26,7314,-14.95,83.66,125.44,143655120663,571556682854,19.26,49.52,"Moderate","food, water",16.72,"Yes"
"154","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",14.11,27.33,13.21,"Energy",14.71,21.72,30.97,20.24,26.64,379170,-18.92,68.86,131.52,402733202713,1231535972038,27.18,35.4,"Dominant","medicine, weapons, fuel",8.28,"Yes"
"155","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",8.87,11.67,2.81,"Agriculture",3.84,13.19,15.26,10.24,13.38,19925,-14.28,98.5,125.11,52233426913,84345349674,28.96,55.91,"Dominant","fuel, weapons",9.15,"Yes"
"156","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.45,27.47,13.02,"Manufacturing",18.61,25.44,35.67,16.81,23.75,130229,-36.52,61.61,76.37,26326060976,46720795853,30.02,43.23,"High","fuel",3.77,"Yes"
"157","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.07,61.42,47.35,"Tourism",59.61,19.69,73.25,43.02,37.02,22874,-35.46,59.55,112.09,346695808470,598607456160,38.47,90,"Moderate","fuel, weapons",389.62,"Yes"
"158","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",7.48,21.47,13.99,"Services",17.67,18.07,32.33,21.09,22.16,2988,-74.19,33.61,60.94,390729203306,723472826988,21.02,45.74,"Low","water",9.09,"No"
"159","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",9.3,21.25,11.96,"Construction",15.79,17.63,24.33,15.81,16.8,60,-43.64,18.4,29.75,190107235567,359768072756,30.93,55.46,"Moderate","food, medicine",37.7,"No"
"160","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",3.12,7.63,4.51,"Manufacturing",6.42,29.03,31.81,11.75,23.84,200761,-32.34,93.93,99.89,353438406051,1255575728658,25.84,37.71,"Moderate","currency, medicine",14.06,"No"
"161","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",9.61,20.66,11.04,"Services",13.75,29.62,35.31,22.37,19.9,296214,-26.76,104.46,149.35,165413365984,464278344146,10.65,25.52,"Dominant","fuel, weapons",13.12,"Yes"
"162","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.59,42.28,27.69,"Construction",31.78,22.22,42.12,28.07,34.21,107811,-17.11,68.37,41.43,483486455868,1479280368055,20.62,51.44,"Moderate","food",237.46,"No"
"163","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",14.71,60.64,45.93,"Services",67.61,8.43,46.48,25.2,30.52,2140,-70.78,73.52,73.41,157160439204,454839630805,10.78,17.26,"Moderate","currency, food, water",14.76,"Yes"
"164","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",3.35,8.91,5.56,"Agriculture",6.98,17.89,22.33,8.69,16.29,2717,-13.85,132.33,244.38,351283156450,891217899879,39.75,70.37,"Low","currency",300.86,"No"
"165","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.33,22,16.67,"Construction",22.16,27.09,41.38,12.9,35.33,24511,-26.8,95,113.5,231608681001,348691405798,31.82,52.46,"Low","weapons, food",83.13,"Yes"
"166","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.44,30.01,15.58,"Construction",18.03,7.66,22.45,11.44,15.97,2612,-34.12,84.55,64.77,109127436998,343426105229,29.5,61.11,"Moderate","water, weapons",457.61,"Yes"
"167","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",10.44,26.84,16.4,"Services",24.42,6.21,23.14,15.12,17.8,430501,-26.56,91.02,129.66,110040651775,199282572266,26.48,47.77,"Moderate","food",5.58,"No"
"168","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",3.13,4.52,1.39,"Agriculture",1.59,18.66,20.29,10.49,11.9,56794,-41.82,38.07,49.23,43725517186,136207519482,18.89,28.1,"Moderate","medicine",0.81,"Yes"
"169","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.81,30.53,23.71,"Energy",32.13,24.14,41.35,15.06,36.18,221638,-49.66,29.59,26.7,429219433269,1696093846567,28.32,60.79,"Moderate","food, water",450.66,"No"
"170","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",7.7,12.19,4.49,"Energy",6.29,11.18,13.57,4.54,10.97,243331,-45.7,25.22,45.23,10253539265,38721330076,20.97,58.71,"Low","food, weapons, fuel",385.16,"Yes"
"171","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",13.16,31.91,18.75,"Services",27.15,6.44,16.9,11.07,11.11,124757,-13.32,72.44,121.8,5813142977,17724489283,18.85,41.3,"High","medicine, weapons",2.9,"No"
"172","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",10.98,29.74,18.77,"Manufacturing",21.27,7.78,21.36,13.51,17.07,90299,-37.03,22.11,43.06,306104214502,1034527635064,37.92,47.04,"High","fuel, weapons, food",8.26,"Yes"
"173","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.95,44.88,35.93,"Manufacturing",53.61,29.21,68.57,33.26,41.98,50126,-21.11,126.2,86.57,355085959649,974345732277,24.48,49.37,"Dominant","weapons",0.55,"No"
"174","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.81,25.35,14.55,"Construction",19.28,26.36,42.27,18.27,23.84,6544,-24.79,37.46,29.15,294942546169,1097209689761,10.73,23.36,"High","water, weapons",10.58,"Yes"
"175","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",11.09,45.3,34.21,"Tourism",46.09,19.18,55.39,23.72,43.39,1909,-69.75,55.92,51.61,467497073217,731560873902,16.52,34.19,"Low","food",8.04,"Yes"
"176","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",12.76,35.13,22.37,"Agriculture",29.42,14.63,29.31,17.22,16.5,15216,-43.12,27.83,47.31,397261760277,1198249182237,26.17,69.19,"Dominant","food, weapons",195.92,"Yes"
"177","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",8.88,16.99,8.11,"Agriculture",10.16,6.01,12.13,5.56,6.1,30302,-43.95,128.61,230.95,152706063085,293995150581,24.94,50.51,"Dominant","currency, fuel",130.63,"Yes"
"178","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",12.04,23.03,10.99,"Services",13.8,29.05,38.21,19.75,25.84,1985,-27.04,100.94,103.34,206520490834,753189486289,27.63,45.73,"High","water, medicine, currency",10.2,"No"
"179","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",13.59,22.28,8.68,"Services",10.33,19.82,26.06,14.53,16.05,428,-45.86,126.45,194.51,279891628408,858452641101,27.79,81.52,"High","currency, weapons, water",42.18,"Yes"
"180","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",6.07,9.57,3.5,"Tourism",5.06,6.96,10.48,4.89,8.51,11049,-11.66,98.85,149.91,232229376713,927327069621,38.87,51.79,"High","food, medicine, fuel",484.79,"Yes"
"181","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",4.56,10.79,6.23,"Agriculture",7.08,14.19,21.47,6.6,16.43,64359,-15.18,104.01,67.29,98861471661,164890864962,23.29,40.3,"Moderate","fuel",12.62,"Yes"
"182","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",5.44,12.38,6.94,"Construction",10.32,15.44,22.48,12.06,15.11,896,-12.47,16.24,29.72,256795944524,733213589728,19.37,39.42,"Moderate","weapons",8.82,"Yes"
"183","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",10.47,18.16,7.69,"Energy",10.81,25.28,32.04,10.29,18.33,14099,-26.42,43.09,75.27,56262820826,185080200510,10.57,24.22,"Dominant","food, fuel, water",2.94,"Yes"
"184","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.2,40.84,30.65,"Services",43.75,22.87,45.68,28.14,30.18,24596,-82.69,59.29,110.45,103927068248,177363524381,11.03,32.66,"Low","weapons, fuel, food",17.84,"Yes"
"185","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.33,5.54,2.22,"Agriculture",2.91,13.55,15.33,7.87,13.26,45352,-35.12,79.51,51.14,264897645816,756246380649,32.26,45.22,"Dominant","food, currency, fuel",5.39,"Yes"
"186","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",4.25,17.22,12.97,"Services",15.98,8.11,15.69,8.43,9.22,162388,-37.41,109.37,178.07,429872109006,1480172286084,13.08,18.82,"High","weapons",6.62,"Yes"
"187","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.08,26.99,15.91,"Energy",17.85,25.27,41.54,18.53,27.16,14696,-14.09,63.86,43.93,40063826215,113583999955,23.49,59.8,"Moderate","food, medicine, currency",260.24,"Yes"
